DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS54 --> MMS2_1          2021-056/10:47:21        2021-056/13:16:39        149.30000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS56 --> MMS2_1          2021-056/10:47:21        2021-056/13:16:36        149.25000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS65 --> MMS2_1          2021-056/10:47:21        2021-056/13:16:34        149.21667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-056/15:07:55        2021-056/23:24:20        496.41667                1.25 Mbps                FieldOfView              FieldOfView              
DS24 --> MMS2_1          2021-056/15:07:56        2021-056/23:24:19        496.38333                1.25 Mbps                FieldOfView              FieldOfView              
DS26 --> MMS2_1          2021-056/15:40:05        2021-056/23:24:20        464.25000                2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-056/15:40:06        2021-056/23:24:19        464.21667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS34 --> MMS2_1          2021-056/19:46:50        2021-057/08:21:26        754.60000                1.25 Mbps                FieldOfView              FieldOfView              
DS34 --> MMS2_1          2021-056/20:00:31        2021-057/08:21:26        740.91667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-056/20:12:31        2021-057/08:04:05        711.56667                1.25 Mbps                Mask                     Mask                     
DS36 --> MMS2_1          2021-056/20:12:31        2021-057/08:04:05        711.56667                2.50 Mbps                Mask                     Mask                     
DS54 --> MMS2_1          2021-057/11:20:48        2021-057/15:46:34        265.76667                1.25 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-057/11:20:48        2021-057/15:45:39        264.85000                1.25 Mbps                ReturnDataRate           Mask                     
DS65 --> MMS2_1          2021-057/11:20:48        2021-057/14:54:09        213.35000                1.25 Mbps                ReturnDataRate           Mask                     
DS54 --> MMS2_1          2021-057/13:43:30        2021-057/15:46:34        123.06667                2.50 Mbps                ReturnDataRate           FieldOfView              
DS56 --> MMS2_1          2021-057/13:43:31        2021-057/15:45:39        122.13333                2.50 Mbps                ReturnDataRate           Mask                     
